tokenizer,n,digits,tokens
BERT,151,3,1
BERT,152,3,1
BERT,153,3,1
BERT,154,3,1
BERT,155,3,1
BERT,156,3,1
BERT,157,3,1
BERT,158,3,1
BERT,159,3,1
BERT,160,3,1
BERT,161,3,1
BERT,162,3,1
BERT,163,3,1
BERT,164,3,1
BERT,165,3,1
BERT,166,3,1
BERT,167,3,1
BERT,168,3,1
BERT,169,3,1
BERT,170,3,1
BERT,171,3,1
BERT,172,3,1
BERT,173,3,1
BERT,174,3,1
BERT,175,3,1
BERT,176,3,1
BERT,177,3,1
BERT,178,3,1
BERT,179,3,1
BERT,180,3,1
BERT,181,3,1
BERT,182,3,1
BERT,183,3,1
BERT,184,3,1
BERT,185,3,1
BERT,186,3,1
BERT,187,3,1
BERT,188,3,1
BERT,189,3,1
BERT,190,3,1
BERT,191,3,1
BERT,192,3,1
BERT,193,3,1
BERT,194,3,1
BERT,195,3,1
BERT,196,3,1
BERT,197,3,1
BERT,198,3,1
BERT,199,3,1
BERT,200,3,1
BERT,201,3,1
BERT,202,3,1
BERT,203,3,1
BERT,204,3,1
BERT,205,3,1
BERT,206,3,1
BERT,207,3,1
BERT,208,3,1
BERT,209,3,1
BERT,210,3,1
BERT,211,3,1
BERT,212,3,1
BERT,213,3,1
BERT,214,3,1
BERT,215,3,1
BERT,216,3,1
BERT,217,3,1
BERT,218,3,1
BERT,219,3,1
BERT,220,3,1
BERT,221,3,1
BERT,222,3,1
BERT,223,3,1
BERT,224,3,1
BERT,225,3,1
BERT,226,3,1
BERT,227,3,1
BERT,228,3,1
BERT,229,3,1
BERT,230,3,1
BERT,231,3,1
BERT,232,3,1
BERT,233,3,1
BERT,234,3,1
BERT,235,3,1
BERT,236,3,1
BERT,237,3,1
BERT,238,3,1
BERT,239,3,1
BERT,240,3,1
BERT,241,3,1
BERT,242,3,1
BERT,243,3,1
BERT,244,3,1
BERT,245,3,1
BERT,246,3,1
BERT,247,3,1
BERT,248,3,1
BERT,249,3,1
BERT,250,3,1
BERT,251,3,1
BERT,252,3,1
BERT,253,3,1
BERT,254,3,1
BERT,255,3,1
BERT,256,3,1
BERT,257,3,1
BERT,258,3,1
BERT,259,3,1
BERT,260,3,1
BERT,261,3,1
BERT,262,3,1
BERT,263,3,1
BERT,264,3,1
BERT,265,3,1
BERT,266,3,1
BERT,267,3,1
BERT,268,3,1
BERT,269,3,1
BERT,270,3,1
BERT,271,3,1
BERT,272,3,1
BERT,273,3,1
BERT,274,3,1
BERT,275,3,1
BERT,276,3,1
BERT,277,3,1
BERT,278,3,1
BERT,279,3,1
BERT,280,3,1
BERT,281,3,1
BERT,282,3,1
BERT,283,3,1
BERT,284,3,1
BERT,285,3,1
BERT,286,3,1
BERT,287,3,1
BERT,288,3,1
BERT,289,3,1
BERT,290,3,1
BERT,291,3,1
BERT,292,3,1
BERT,293,3,1
BERT,294,3,1
BERT,295,3,1
BERT,296,3,1
BERT,297,3,1
BERT,298,3,1
BERT,299,3,1
BERT,300,3,1
BERT,301,3,1
BERT,302,3,1
BERT,303,3,1
BERT,304,3,1
BERT,305,3,1
BERT,306,3,1
BERT,307,3,1
BERT,308,3,1
BERT,309,3,1
BERT,310,3,1
BERT,311,3,1
BERT,312,3,1
BERT,313,3,1
BERT,314,3,1
BERT,315,3,1
BERT,316,3,1
BERT,317,3,1
BERT,318,3,1
BERT,319,3,1
BERT,320,3,1
BERT,321,3,1
BERT,322,3,1
BERT,323,3,1
BERT,324,3,1
BERT,325,3,1
BERT,326,3,1
BERT,327,3,1
BERT,328,3,1
BERT,329,3,1
BERT,330,3,1
BERT,331,3,1
BERT,332,3,1
BERT,333,3,1
BERT,334,3,1
BERT,335,3,1
BERT,336,3,1
BERT,337,3,1
BERT,338,3,1
BERT,339,3,1
BERT,340,3,1
BERT,341,3,1
BERT,342,3,2
BERT,343,3,1
BERT,344,3,1
BERT,345,3,1
BERT,346,3,2
BERT,347,3,2
BERT,348,3,2
BERT,349,3,2
BERT,350,3,1
BERT,351,3,1
BERT,352,3,1
BERT,353,3,2
BERT,354,3,1
BERT,355,3,1
BERT,356,3,1
BERT,357,3,1
BERT,358,3,2
BERT,359,3,2
BERT,360,3,1
BERT,361,3,2
BERT,362,3,2
BERT,363,3,2
BERT,364,3,2
BERT,365,3,1
BERT,366,3,2
BERT,367,3,2
BERT,368,3,2
BERT,369,3,2
BERT,370,3,1
BERT,371,3,2
BERT,372,3,2
BERT,373,3,2
BERT,374,3,2
BERT,375,3,1
BERT,376,3,2
BERT,377,3,2
BERT,378,3,2
BERT,379,3,2
BERT,380,3,1
BERT,381,3,1
BERT,382,3,2
BERT,383,3,2
BERT,384,3,2
BERT,385,3,1
BERT,386,3,2
BERT,387,3,2
BERT,388,3,2
BERT,389,3,2
BERT,390,3,1
BERT,391,3,2
BERT,392,3,2
BERT,393,3,2
BERT,394,3,2
BERT,395,3,1
BERT,396,3,2
BERT,397,3,2
BERT,398,3,2
BERT,399,3,2
BERT,400,3,1
BERT,401,3,1
BERT,402,3,1
BERT,403,3,1
BERT,404,3,1
BERT,405,3,1
BERT,406,3,1
BERT,407,3,1
BERT,408,3,2
BERT,409,3,2
BERT,410,3,1
BERT,411,3,1
BERT,412,3,1
BERT,413,3,2
BERT,414,3,2
BERT,415,3,1
BERT,416,3,2
BERT,417,3,1
BERT,418,3,2
BERT,419,3,2
BERT,420,3,1
BERT,421,3,1
BERT,422,3,1
BERT,423,3,2
BERT,424,3,2
BERT,425,3,1
BERT,426,3,2
BERT,427,3,2
BERT,428,3,2
BERT,429,3,2
BERT,430,3,1
BERT,431,3,2
BERT,432,3,2
BERT,433,3,2
BERT,434,3,2
BERT,435,3,1
BERT,436,3,2
BERT,437,3,2
BERT,438,3,2
BERT,439,3,2
BERT,440,3,1
BERT,441,3,1
BERT,442,3,2
BERT,443,3,2
BERT,444,3,2
BERT,445,3,2
BERT,446,3,2
BERT,447,3,2
BERT,448,3,2
BERT,449,3,2
BERT,450,3,1
BERT,451,3,1
BERT,452,3,2
BERT,453,3,2
BERT,454,3,2
BERT,455,3,2
BERT,456,3,2
BERT,457,3,2
BERT,458,3,2
BERT,459,3,2
BERT,460,3,1
BERT,461,3,2
BERT,462,3,2
BERT,463,3,2
BERT,464,3,2
BERT,465,3,2
BERT,466,3,2
BERT,467,3,2
BERT,468,3,2
BERT,469,3,2
BERT,470,3,1
BERT,471,3,2
BERT,472,3,2
BERT,473,3,2
BERT,474,3,2
BERT,475,3,1
BERT,476,3,2
BERT,477,3,2
BERT,478,3,2
BERT,479,3,2
BERT,480,3,1
BERT,481,3,2
BERT,482,3,2
BERT,483,3,2
BERT,484,3,2
BERT,485,3,2
BERT,486,3,2
BERT,487,3,2
BERT,488,3,2
BERT,489,3,2
BERT,490,3,1
BERT,491,3,2
BERT,492,3,2
BERT,493,3,2
BERT,494,3,2
BERT,495,3,1
BERT,496,3,2
BERT,497,3,2
BERT,498,3,2
BERT,499,3,2
BERT,500,3,1
BERT,501,3,1
BERT,502,3,2
BERT,503,3,2
BERT,504,3,2
BERT,505,3,1
BERT,506,3,2
BERT,507,3,2
BERT,508,3,2
BERT,509,3,2
BERT,510,3,1
BERT,511,3,2
BERT,512,3,1
BERT,513,3,2
BERT,514,3,2
BERT,515,3,2
BERT,516,3,2
BERT,517,3,2
BERT,518,3,2
BERT,519,3,2
BERT,520,3,1
BERT,521,3,1
BERT,522,3,2
BERT,523,3,2
BERT,524,3,2
BERT,525,3,1
BERT,526,3,2
BERT,527,3,2
BERT,528,3,2
BERT,529,3,2
BERT,530,3,1
BERT,531,3,2
BERT,532,3,2
BERT,533,3,2
BERT,534,3,2
BERT,535,3,2
BERT,536,3,2
BERT,537,3,2
BERT,538,3,2
BERT,539,3,2
BERT,540,3,1
BERT,541,3,2
BERT,542,3,2
BERT,543,3,2
BERT,544,3,2
BERT,545,3,2
BERT,546,3,2
BERT,547,3,2
BERT,548,3,2
BERT,549,3,2
BERT,550,3,1
BERT,551,3,2
BERT,552,3,2
BERT,553,3,2
BERT,554,3,2
BERT,555,3,1
BERT,556,3,2
BERT,557,3,2
BERT,558,3,2
BERT,559,3,2
BERT,560,3,1
BERT,561,3,2
BERT,562,3,2
BERT,563,3,2
BERT,564,3,2
BERT,565,3,2
BERT,566,3,2
BERT,567,3,2
BERT,568,3,2
BERT,569,3,2
BERT,570,3,1
BERT,571,3,2
BERT,572,3,2
BERT,573,3,2
BERT,574,3,2
BERT,575,3,2
BERT,576,3,2
BERT,577,3,2
BERT,578,3,2
BERT,579,3,2
BERT,580,3,1
BERT,581,3,2
BERT,582,3,2
BERT,583,3,2
BERT,584,3,2
BERT,585,3,2
BERT,586,3,2
BERT,587,3,2
BERT,588,3,2
BERT,589,3,2
BERT,590,3,1
BERT,591,3,2
BERT,592,3,2
BERT,593,3,2
BERT,594,3,2
BERT,595,3,2
BERT,596,3,2
BERT,597,3,2
BERT,598,3,2
BERT,599,3,2
BERT,600,3,1
BERT,601,3,2
BERT,602,3,2
BERT,603,3,2
BERT,604,3,2
BERT,605,3,2
BERT,606,3,2
BERT,607,3,2
BERT,608,3,2
BERT,609,3,2
BERT,610,3,1
BERT,611,3,2
BERT,612,3,2
BERT,613,3,2
BERT,614,3,2
BERT,615,3,2
BERT,616,3,2
BERT,617,3,2
BERT,618,3,2
BERT,619,3,2
BERT,620,3,1
BERT,621,3,2
BERT,622,3,2
BERT,623,3,2
BERT,624,3,2
BERT,625,3,1
BERT,626,3,2
BERT,627,3,2
BERT,628,3,2
BERT,629,3,2
BERT,630,3,1
BERT,631,3,2
BERT,632,3,2
BERT,633,3,2
BERT,634,3,2
BERT,635,3,2
BERT,636,3,2
BERT,637,3,2
BERT,638,3,2
BERT,639,3,2
BERT,640,3,1
BERT,641,3,2
BERT,642,3,2
BERT,643,3,2
BERT,644,3,2
BERT,645,3,2
BERT,646,3,2
BERT,647,3,2
BERT,648,3,2
BERT,649,3,2
BERT,650,3,1
BERT,651,3,2
BERT,652,3,2
BERT,653,3,2
BERT,654,3,2
BERT,655,3,2
BERT,656,3,2
BERT,657,3,2
BERT,658,3,2
BERT,659,3,2
BERT,660,3,1
BERT,661,3,2
BERT,662,3,2
BERT,663,3,2
BERT,664,3,2
BERT,665,3,2
BERT,666,3,2
BERT,667,3,2
BERT,668,3,2
BERT,669,3,2
BERT,670,3,1
BERT,671,3,2
BERT,672,3,2
BERT,673,3,2
BERT,674,3,2
BERT,675,3,2
BERT,676,3,2
BERT,677,3,2
BERT,678,3,2
BERT,679,3,2
BERT,680,3,1
BERT,681,3,2
BERT,682,3,2
BERT,683,3,2
BERT,684,3,2
BERT,685,3,2
BERT,686,3,2
BERT,687,3,2
BERT,688,3,2
BERT,689,3,2
BERT,690,3,1
BERT,691,3,2
BERT,692,3,2
BERT,693,3,2
BERT,694,3,2
BERT,695,3,2
BERT,696,3,2
BERT,697,3,2
BERT,698,3,2
BERT,699,3,2
BERT,700,3,1
BERT,701,3,2
BERT,702,3,2
BERT,703,3,2
BERT,704,3,2
BERT,705,3,2
BERT,706,3,2
BERT,707,3,2
BERT,708,3,2
BERT,709,3,2
BERT,710,3,1
BERT,711,3,2
BERT,712,3,2
BERT,713,3,2
BERT,714,3,2
BERT,715,3,2
BERT,716,3,2
BERT,717,3,2
BERT,718,3,2
BERT,719,3,2
BERT,720,3,1
BERT,721,3,2
BERT,722,3,2
BERT,723,3,2
BERT,724,3,2
BERT,725,3,2
BERT,726,3,2
BERT,727,3,2
BERT,728,3,2
BERT,729,3,2
BERT,730,3,1
BERT,731,3,2
BERT,732,3,2
BERT,733,3,2
BERT,734,3,2
BERT,735,3,2
BERT,736,3,2
BERT,737,3,1
BERT,738,3,2
BERT,739,3,2
BERT,740,3,1
BERT,741,3,2
BERT,742,3,2
BERT,743,3,2
BERT,744,3,2
BERT,745,3,2
BERT,746,3,2
BERT,747,3,1
BERT,748,3,2
BERT,749,3,2
BERT,750,3,1
BERT,751,3,2
BERT,752,3,2
BERT,753,3,2
BERT,754,3,2
BERT,755,3,2
BERT,756,3,2
BERT,757,3,2
BERT,758,3,2
BERT,759,3,2
BERT,760,3,1
BERT,761,3,2
BERT,762,3,2
BERT,763,3,2
BERT,764,3,2
BERT,765,3,2
BERT,766,3,2
BERT,767,3,2
BERT,768,3,2
BERT,769,3,2
BERT,770,3,1
BERT,771,3,2
BERT,772,3,2
BERT,773,3,2
BERT,774,3,2
BERT,775,3,2
BERT,776,3,2
BERT,777,3,2
BERT,778,3,2
BERT,779,3,2
BERT,780,3,1
BERT,781,3,2
BERT,782,3,2
BERT,783,3,2
BERT,784,3,2
BERT,785,3,2
BERT,786,3,2
BERT,787,3,2
BERT,788,3,2
BERT,789,3,2
BERT,790,3,2
BERT,791,3,2
BERT,792,3,2
BERT,793,3,2
BERT,794,3,2
BERT,795,3,2
BERT,796,3,2
BERT,797,3,2
BERT,798,3,2
BERT,799,3,2
BERT,800,3,1
BERT,801,3,2
BERT,802,3,1
BERT,803,3,2
BERT,804,3,2
BERT,805,3,2
BERT,806,3,2
BERT,807,3,2
BERT,808,3,2
BERT,809,3,2
BERT,810,3,2
BERT,811,3,2
BERT,812,3,2
BERT,813,3,2
BERT,814,3,2
BERT,815,3,2
BERT,816,3,2
BERT,817,3,2
BERT,818,3,2
BERT,819,3,2
BERT,820,3,1
BERT,821,3,2
BERT,822,3,2
BERT,823,3,2
BERT,824,3,2
BERT,825,3,2
BERT,826,3,2
BERT,827,3,2
BERT,828,3,2
BERT,829,3,2
BERT,830,3,2
BERT,831,3,2
BERT,832,3,2
BERT,833,3,2
BERT,834,3,2
BERT,835,3,2
BERT,836,3,2
BERT,837,3,2
BERT,838,3,2
BERT,839,3,2
BERT,840,3,1
BERT,841,3,2
BERT,842,3,2
BERT,843,3,2
BERT,844,3,2
BERT,845,3,2
BERT,846,3,2
BERT,847,3,2
BERT,848,3,2
BERT,849,3,2
BERT,850,3,1
BERT,851,3,2
BERT,852,3,2
BERT,853,3,2
BERT,854,3,2
BERT,855,3,2
BERT,856,3,2
BERT,857,3,2
BERT,858,3,2
BERT,859,3,2
BERT,860,3,2
BERT,861,3,2
BERT,862,3,2
BERT,863,3,2
BERT,864,3,2
BERT,865,3,2
BERT,866,3,2
BERT,867,3,2
BERT,868,3,2
BERT,869,3,2
BERT,870,3,1
BERT,871,3,2
BERT,872,3,2
BERT,873,3,2
BERT,874,3,2
BERT,875,3,1
BERT,876,3,2
BERT,877,3,2
BERT,878,3,2
BERT,879,3,2
BERT,880,3,1
BERT,881,3,2
BERT,882,3,2
BERT,883,3,2
BERT,884,3,2
BERT,885,3,2
BERT,886,3,2
BERT,887,3,2
BERT,888,3,2
BERT,889,3,2
BERT,890,3,2
BERT,891,3,2
BERT,892,3,2
BERT,893,3,2
BERT,894,3,2
BERT,895,3,2
BERT,896,3,2
BERT,897,3,2
BERT,898,3,2
BERT,899,3,2
BERT,900,3,1
BERT,901,3,2
BERT,902,3,2
BERT,903,3,2
BERT,904,3,2
BERT,905,3,2
BERT,906,3,2
BERT,907,3,2
BERT,908,3,2
BERT,909,3,2
BERT,910,3,1
BERT,911,3,1
BERT,912,3,2
BERT,913,3,2
BERT,914,3,2
BERT,915,3,2
BERT,916,3,2
BERT,917,3,2
BERT,918,3,2
BERT,919,3,2
BERT,920,3,2
BERT,921,3,2
BERT,922,3,2
BERT,923,3,2
BERT,924,3,2
BERT,925,3,2
BERT,926,3,2
BERT,927,3,2
BERT,928,3,2
BERT,929,3,2
BERT,930,3,1
BERT,931,3,2
BERT,932,3,2
BERT,933,3,2
BERT,934,3,2
BERT,935,3,2
BERT,936,3,2
BERT,937,3,2
BERT,938,3,2
BERT,939,3,2
BERT,940,3,2
BERT,941,3,2
BERT,942,3,2
BERT,943,3,2
BERT,944,3,2
BERT,945,3,2
BERT,946,3,2
BERT,947,3,2
BERT,948,3,2
BERT,949,3,2
BERT,950,3,1
BERT,951,3,2
BERT,952,3,2
BERT,953,3,2
BERT,954,3,2
BERT,955,3,2
BERT,956,3,2
BERT,957,3,2
BERT,958,3,2
BERT,959,3,2
BERT,960,3,1
BERT,961,3,2
BERT,962,3,2
BERT,963,3,2
BERT,964,3,2
BERT,965,3,2
BERT,966,3,2
BERT,967,3,2
BERT,968,3,2
BERT,969,3,2
BERT,970,3,2
BERT,971,3,2
BERT,972,3,2
BERT,973,3,2
BERT,974,3,2
BERT,975,3,2
BERT,976,3,2
BERT,977,3,2
BERT,978,3,1
BERT,979,3,2
BERT,980,3,1
BERT,981,3,2
BERT,982,3,2
BERT,983,3,2
BERT,984,3,2
BERT,985,3,2
BERT,986,3,2
BERT,987,3,2
BERT,988,3,2
BERT,989,3,2
BERT,990,3,2
BERT,991,3,2
BERT,992,3,2
BERT,993,3,2
BERT,994,3,2
BERT,995,3,2
BERT,996,3,2
BERT,997,3,2
BERT,998,3,2
BERT,999,3,1
BERT,1000,4,1
BERT,1001,4,2
BERT,1002,4,2
BERT,1003,4,2
BERT,1004,4,2
BERT,1005,4,2
BERT,1006,4,2
BERT,1007,4,2
BERT,1008,4,2
BERT,1009,4,2
BERT,1010,4,2
BERT,1011,4,2
BERT,1012,4,2
BERT,1013,4,2
BERT,1014,4,2
BERT,1015,4,2
BERT,1016,4,1
BERT,1017,4,2
BERT,1018,4,2
BERT,1019,4,2
BERT,1020,4,2
BERT,1021,4,2
BERT,1022,4,2
BERT,1023,4,2
BERT,1024,4,2
BERT,1025,4,2
BERT,1026,4,2
BERT,1027,4,2
BERT,1028,4,2
BERT,1029,4,2
BERT,1030,4,2
BERT,1031,4,2
BERT,1032,4,2
BERT,1033,4,2
BERT,1034,4,2
BERT,1035,4,2
BERT,1036,4,2
BERT,1037,4,2
BERT,1038,4,2
BERT,1039,4,2
BERT,1040,4,2
BERT,1041,4,2
BERT,1042,4,2
BERT,1043,4,2
BERT,1044,4,2
BERT,1045,4,2
BERT,1046,4,2
BERT,1047,4,2
BERT,1048,4,2
BERT,1049,4,2
BERT,1050,4,2
BERT,1051,4,2
BERT,1052,4,2
BERT,1053,4,2
BERT,1054,4,2
BERT,1055,4,2
BERT,1056,4,2
BERT,1057,4,2
BERT,1058,4,2
BERT,1059,4,2
BERT,1060,4,2
BERT,1061,4,2
BERT,1062,4,2
BERT,1063,4,2
BERT,1064,4,2
BERT,1065,4,2
BERT,1066,4,2
BERT,1067,4,2
BERT,1068,4,2
BERT,1069,4,2
BERT,1070,4,2
BERT,1071,4,2
BERT,1072,4,2
BERT,1073,4,2
BERT,1074,4,2
BERT,1075,4,2
BERT,1076,4,2
BERT,1077,4,2
BERT,1078,4,2
BERT,1079,4,2
BERT,1080,4,2
BERT,1081,4,2
BERT,1082,4,2
BERT,1083,4,2
BERT,1084,4,2
BERT,1085,4,2
BERT,1086,4,1
BERT,1087,4,2
BERT,1088,4,2
BERT,1089,4,2
BERT,1090,4,2
BERT,1091,4,2
BERT,1092,4,2
BERT,1093,4,2
BERT,1094,4,2
BERT,1095,4,2
BERT,1096,4,2
BERT,1097,4,2
BERT,1098,4,2
BERT,1099,4,2
BERT,1100,4,1
BERT,1101,4,2
BERT,1102,4,2
BERT,1103,4,2
BERT,1104,4,2
BERT,1105,4,2
BERT,1106,4,2
BERT,1107,4,2
BERT,1108,4,2
BERT,1109,4,2
BERT,1110,4,2
BERT,1111,4,2
BERT,1112,4,2
BERT,1113,4,2
BERT,1114,4,2
BERT,1115,4,2
BERT,1116,4,2
BERT,1117,4,2
BERT,1118,4,2
BERT,1119,4,2
BERT,1120,4,2
BERT,1121,4,2
BERT,1122,4,2
BERT,1123,4,2
BERT,1124,4,2
BERT,1125,4,2
BERT,1126,4,2
BERT,1127,4,2
BERT,1128,4,2
BERT,1129,4,2
BERT,1130,4,2
BERT,1131,4,2
BERT,1132,4,2
BERT,1133,4,2
BERT,1134,4,2
BERT,1135,4,2
BERT,1136,4,2
BERT,1137,4,2
BERT,1138,4,2
BERT,1139,4,2
BERT,1140,4,2
BERT,1141,4,2
BERT,1142,4,2
BERT,1143,4,2
BERT,1144,4,2
BERT,1145,4,2
BERT,1146,4,2
BERT,1147,4,2
BERT,1148,4,2
BERT,1149,4,2
BERT,1150,4,2
BERT,1151,4,2
BERT,1152,4,2
BERT,1153,4,2
BERT,1154,4,2
BERT,1155,4,2
BERT,1156,4,2
BERT,1157,4,2
BERT,1158,4,2
BERT,1159,4,2
BERT,1160,4,2
BERT,1161,4,2
BERT,1162,4,2
BERT,1163,4,2
BERT,1164,4,2
BERT,1165,4,2
BERT,1166,4,2
BERT,1167,4,2
BERT,1168,4,2
BERT,1169,4,2
BERT,1170,4,2
BERT,1171,4,2
BERT,1172,4,2
BERT,1173,4,2
BERT,1174,4,2
BERT,1175,4,2
BERT,1176,4,2
BERT,1177,4,2
BERT,1178,4,2
BERT,1179,4,2
BERT,1180,4,2
BERT,1181,4,2
BERT,1182,4,2
BERT,1183,4,2
BERT,1184,4,2
BERT,1185,4,2
BERT,1186,4,2
BERT,1187,4,2
BERT,1188,4,2
BERT,1189,4,2
BERT,1190,4,2
BERT,1191,4,2
BERT,1192,4,2
BERT,1193,4,2
BERT,1194,4,2
BERT,1195,4,2
BERT,1196,4,2
BERT,1197,4,2
BERT,1198,4,2
BERT,1199,4,2
BERT,1200,4,1
BERT,1201,4,2
BERT,1202,4,2
BERT,1203,4,2
BERT,1204,4,2
BERT,1205,4,2
BERT,1206,4,2
BERT,1207,4,2
BERT,1208,4,2
BERT,1209,4,2
BERT,1210,4,2
BERT,1211,4,2
BERT,1212,4,2
BERT,1213,4,2
BERT,1214,4,2
BERT,1215,4,2
BERT,1216,4,2
BERT,1217,4,2
BERT,1218,4,2
BERT,1219,4,2
BERT,1220,4,2
BERT,1221,4,2
BERT,1222,4,2
BERT,1223,4,2
BERT,1224,4,2
BERT,1225,4,2
BERT,1226,4,2
BERT,1227,4,2
BERT,1228,4,2
BERT,1229,4,2
BERT,1230,4,2
BERT,1231,4,2
BERT,1232,4,2
BERT,1233,4,2
BERT,1234,4,2
BERT,1235,4,2
BERT,1236,4,2
BERT,1237,4,2
BERT,1238,4,2
BERT,1239,4,2
BERT,1240,4,2
BERT,1241,4,2
BERT,1242,4,2
BERT,1243,4,2
BERT,1244,4,2
BERT,1245,4,2
BERT,1246,4,2
BERT,1247,4,2
BERT,1248,4,2
BERT,1249,4,2
BERT,1250,4,2
BERT,1251,4,2
BERT,1252,4,2
BERT,1253,4,2
BERT,1254,4,2
BERT,1255,4,2
BERT,1256,4,2
BERT,1257,4,2
BERT,1258,4,2
BERT,1259,4,2
BERT,1260,4,2
BERT,1261,4,2
BERT,1262,4,2
BERT,1263,4,2
BERT,1264,4,2
BERT,1265,4,2
BERT,1266,4,2
BERT,1267,4,2
BERT,1268,4,2
BERT,1269,4,2
BERT,1270,4,2
BERT,1271,4,2
BERT,1272,4,2
BERT,1273,4,2
BERT,1274,4,2
BERT,1275,4,2
BERT,1276,4,2
BERT,1277,4,2
BERT,1278,4,2
BERT,1279,4,2
BERT,1280,4,2
BERT,1281,4,2
BERT,1282,4,2
BERT,1283,4,2
BERT,1284,4,2
BERT,1285,4,2
BERT,1286,4,2
BERT,1287,4,2
BERT,1288,4,2
BERT,1289,4,2
BERT,1290,4,2
BERT,1291,4,2
BERT,1292,4,2
BERT,1293,4,2
BERT,1294,4,2
BERT,1295,4,2
BERT,1296,4,2
BERT,1297,4,2
BERT,1298,4,2
BERT,1299,4,2
BERT,1300,4,1
BERT,1301,4,2
BERT,1302,4,2
BERT,1303,4,2
BERT,1304,4,2
BERT,1305,4,2
BERT,1306,4,2
BERT,1307,4,2
BERT,1308,4,2
BERT,1309,4,2
BERT,1310,4,2
BERT,1311,4,2
BERT,1312,4,2
BERT,1313,4,2
BERT,1314,4,2
BERT,1315,4,2
BERT,1316,4,2
BERT,1317,4,2
BERT,1318,4,2
BERT,1319,4,2
BERT,1320,4,2
BERT,1321,4,2
BERT,1322,4,2
BERT,1323,4,2
BERT,1324,4,2
BERT,1325,4,2
BERT,1326,4,2
BERT,1327,4,2
BERT,1328,4,2
BERT,1329,4,2
BERT,1330,4,2
BERT,1331,4,2
BERT,1332,4,2
BERT,1333,4,2
BERT,1334,4,2
BERT,1335,4,2
BERT,1336,4,2
BERT,1337,4,2
BERT,1338,4,2
BERT,1339,4,2
BERT,1340,4,2
BERT,1341,4,2
BERT,1342,4,2
BERT,1343,4,2
BERT,1344,4,2
BERT,1345,4,2
BERT,1346,4,2
BERT,1347,4,2
BERT,1348,4,2
BERT,1349,4,2
BERT,1350,4,2
BERT,1351,4,2
BERT,1352,4,2
BERT,1353,4,2
BERT,1354,4,2
BERT,1355,4,2
BERT,1356,4,2
BERT,1357,4,2
BERT,1358,4,2
BERT,1359,4,2
