text,tokenizer,tokens,chars
"The algorithm converged in 12,345 iterations with final…",BLOOM,17,69
"The algorithm converged in 12,345 iterations with final…",T5,19,69
"The algorithm converged in 12,345 iterations with final…",XLM-R,19,69
"The algorithm converged in 12,345 iterations with final…",Pythia,17,69
"The algorithm converged in 12,345 iterations with final…",OPT,17,69
"The algorithm converged in 12,345 iterations with final…",Qwen2.5,24,69
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",BERT,23,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",GPT-2,23,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",RoBERTa,23,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",BLOOM,20,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",T5,23,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",XLM-R,20,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",Pythia,24,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",OPT,23,71
"Global emissions reached 36.8 GtCO2 in 2023, a 1.1% inc…",Qwen2.5,33,71
